id,created_at,name,slug,updated_at,url,checksum,companies,logo,platforms
400,1478821916,LÖVE,love,1713896862,https://www.igdb.com/game_engines/love,734912b5-5bf4-492e-c5f5-1265b447ffe8,,,
3,1399579055,Source,source,1726196959,https://www.igdb.com/game_engines/source,d2539527-a33d-0dac-85ea-1c56ebe2e883,[56],0.0,"[3, 6, 9, 11, 12, 14, 34]"
1108,1602443668,Starlight,starlight,1714574509,https://www.igdb.com/game_engines/starlight,bc517f2c-a43d-ee70-69e2-563260e2ab3c,,,
546,1515786978,AGS,ags,1717550586,https://www.igdb.com/game_engines/ags,7b58eadf-862d-b753-f14e-97f32ba0ffcd,,,
1331,1631355458,Tiger,tiger,1700454255,https://www.igdb.com/game_engines/tiger,bab84429-f426-6336-c9f9-bd6879d75eca,,,
1357,1634133812,Cryogen,cryogen,1634134534,https://www.igdb.com/game_engines/cryogen,60d48271-de5d-1929-ad1c-7896e1bb2cb9,,,
109,1415176033,Horizon Engine,horizon-engine,1417031988,https://www.igdb.com/game_engines/horizon-engine,8cd9c4e4-bd50-c6db-2e0b-a62f9a04bf5d,,,
112,1415181391,FlatRedBall,flatredball,1523644582,https://www.igdb.com/game_engines/flatredball,e6788f28-74f3-cb5d-9edc-f92f2fe493e2,,,
1479,1677243144,G-Engine,g-engine,1677590443,https://www.igdb.com/game_engines/g-engine,3fb9ce29-9f83-2f53-fe45-108e9c473bd4,[32],,[6]
1589,1708031872,R² Engine,r2-engine,1708119844,https://www.igdb.com/game_engines/r2-engine,d817abe2-1e1d-de62-68a6-88048cfba923,[39452],0.0,[6]
32,1403637498,Retox,retox,1403637519,https://www.igdb.com/game_engines/retox,a1cd6694-f931-3125-090d-bb83a59ce9f2,,,
127,1417615293,LS3D,ls3d,1563314326,https://www.igdb.com/game_engines/ls3d,89fbd61e-b188-12e0-f203-67f48107a4ba,,,
129,1418518302,Emmersion,emmersion,1418523855,https://www.igdb.com/game_engines/emmersion,5b7c482e-acac-89af-755c-385ac1d46dbb,,,
437,1488391728,BANG!,bang,1639173401,https://www.igdb.com/game_engines/bang,55ad92d7-83fc-2f6c-2e82-0017a2b198c8,,,
1307,1628828615,Halo 3,halo-3,1643988868,https://www.igdb.com/game_engines/halo-3,1bcd661e-df21-f0af-6255-38dbb024fa04,,,
237,1431984580,The Madness Engine,the-madness-engine,1578717867,https://www.igdb.com/game_engines/the-madness-engine,2737cd39-fbf7-f602-ecba-ddfc89b0e8bf,[356],,
174,1422793824,PhyreEngine,phyreengine,1725410779,https://www.igdb.com/game_engines/phyreengine,20ad1e1e-c630-68b9-90ac-97071050738b,[45],0.0,
288,1447183302,Dagon Engine,dagon-engine,1554929193,https://www.igdb.com/game_engines/dagon-engine,04045b0e-6720-2f4c-fc7a-f88e613005f9,,,
575,1528627903,CryEngine 5,cryengine-5,1725950604,https://www.igdb.com/game_engines/cryengine-5,1d176d58-d760-f485-2c10-38ee9151aaae,,,
1681,1724874717,EntisGLS,entisgls,1726039795,https://www.igdb.com/game_engines/entisgls,736c6eff-bb3c-2180-dd79-ecf47ba7e17d,,,
1279,1625927679,MS25,ms25,1631216705,https://www.igdb.com/game_engines/ms25,8276b33f-e396-5218-1c25-68a5024098b6,,,
1211,1615764036,Trial,trial,1668507943,https://www.igdb.com/game_engines/trial,252342b2-a881-d3ef-e809-77a717ebbd28,,,
1184,1612324565,Bitsy 3D,bitsy-3d,1712733853,https://www.igdb.com/game_engines/bitsy-3d,4297e77e-9e22-bbe6-98e1-ef0ad6bbe763,,,
1676,1723743129,Xash3D FWGS,xash3d-fwgs,1723743129,https://www.igdb.com/game_engines/xash3d-fwgs,e80e77b5-e45f-2549-8ea5-32415ca51b26,,,
1312,1628988306,Xash3D,xash3d,1723784940,https://www.igdb.com/game_engines/xash3d,5b8f3ea3-0e1d-4263-b213-022fc823fb44,[57085],0.0,[6]
146,1419569960,Beard+Razor,beard-plus-razor,1500017468,https://www.igdb.com/game_engines/beard-plus-razor,96dfa102-32b3-7d50-d1ad-5b4e7ebf54a0,,,
1628,1718121866,CMVS,cmvs,1718247532,https://www.igdb.com/game_engines/cmvs,bd5ece8f-7f9c-a44a-fd53-b7ef83595f1e,,,
