genres,first_release_date,name,slug,itad_id,release_price
"[9, 15, 32]",2017-04-21,Zhed,zhed,018d937f-4d41-71a3-9656-ac700888443e,3.99
"[5, 32]",2014-09-18,Heavy Bullets,heavy-bullets,018d937f-0a90-7135-8b14-013227cc004e,9.99
"[5, 11, 15, 32]",2015-09-24,Tango Fiesta,tango-fiesta,018d937f-0a01-71c4-9e43-2f0b39b32f74,12.99
"[13, 15, 32]",2016-04-20,Oil Enterprise,oil-enterprise,018d937f-05d2-719a-959b-1f077f0fa6c2,19.99
"[31, 32]",2017-01-19,Creeping Terror,creeping-terror,018d937f-2a16-73b9-9264-ad43b5e4b637,8.99
"[5, 31, 32, 33]",2015-03-19,"It came from space, and ate our brains",it-came-from-space-and-ate-our-brains,018d937f-1cd5-7291-b6b7-afc2fb023ccf,2.99
"[13, 15, 24, 31, 32]",2018-10-25,Party Hard 2,party-hard-2,018d937f-1573-7341-a4b1-81e7bbed9218,19.99
"[5, 12, 31]",2015-01-15,Just Survive,just-survive,018d937f-27da-7087-a021-a440d73ced2f,19.99
[14],2008-10-02,FIFA Soccer 09,fifa-soccer-09,018d937f-154c-7099-8175-ac0ce0087466,9.99
"[5, 8, 32]",2017-06-15,Mighty Gunvolt Burst,mighty-gunvolt-burst,018d937f-241e-7302-a4c0-17d2222fd5bd,9.99
"[13, 15, 26, 32]",2013-05-05,7 Grand Steps: What Ancients Begat,7-grand-steps-what-ancients-begat,018d937f-1729-7241-9002-fc1d9b847fac,14.99
"[8, 32]",2014-12-04,Insanity's Blade,insanitys-blade,018d937f-30f5-7387-ae56-283e8b4aa544,9.99
"[12, 25]",2011-05-25,Dungeons and Dragons: Daggerdale,dungeons-and-dragons-daggerdale,018d937f-00d2-73ad-9373-76142439c263,14.99
[4],2024-02-02,Jujutsu Kaisen: Cursed Clash,jujutsu-kaisen-cursed-clash,018d937f-761d-710a-b61f-0085928ce149,59.99
[32],2015-03-18,Default Dan,default-dan,018d937f-2d9f-732b-b94d-38bacf519196,5.99
"[12, 15, 24, 31]",2020-11-30,Empire of Sin,empire-of-sin,018d937e-f05f-73fd-b695-5203dc4578b0,39.99
"[2, 9, 31, 32]",2020-08-06,There Is No Game: Wrong Dimension,there-is-no-game-wrong-dimension,018d937f-3fde-7244-99f5-9d30f564d657,12.99
"[12, 31, 32]",2022-07-15,Video Game Fables,video-game-fables,018d937f-4d12-727b-8eaf-461ef9436e8e,19.99
"[2, 9, 31, 32]",2020-08-06,There Is No Game: Wrong Dimension,there-is-no-game-wrong-dimension,018d937f-3fde-7244-99f5-9d30f564d657,12.99
"[12, 31, 32]",2022-07-15,Video Game Fables,video-game-fables,018d937f-4d12-727b-8eaf-461ef9436e8e,19.99
"[8, 12, 31, 32]",2014-11-10,Elliot Quest,elliot-quest,018d937f-225e-7138-ac87-e020677e0e00,12.99
"[5, 31, 32]",2018-05-04,City of Brass,city-of-brass,018d937f-37ab-709e-9c20-606a7c4c070a,24.99
"[9, 31, 32]",2020-06-25,Beyond a Steel Sky,beyond-a-steel-sky,018d937f-3830-71f4-bbcc-b3430798f559,34.99
[5],2012-11-12,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,018d9571-ca0b-7131-bb1e-05633a089597,59.99
"[12, 13, 15, 32]",2018-05-03,Judgment: Apocalypse Survival Simulation,judgment-apocalypse-survival-simulation,018d937f-1393-7386-903a-cb620ee2f4cb,19.99
"[12, 31]",2017-12-01,Xenoblade Chronicles 2,xenoblade-chronicles-2,018d937e-fcfb-7291-bf00-f65183f09b58,59.99
"[12, 15, 35]",2013-01-24,Monster Monpiece,monster-monpiece,018d937f-121d-7131-a162-303ea5a2a3b4,19.99
"[13, 15, 16, 24, 32]",2017-12-21,Tiny Metal,tiny-metal,018d937f-0ebc-7075-91d7-9cefa70b8323,24.99
"[5, 12, 31, 32, 33]",2022-03-01,Shadow Warrior 3,shadow-warrior-3,018d937f-43f8-71cb-a5de-0e77e474e0ab,49.99
"[8, 9, 12, 31, 32]",2017-06-15,Flood of Light,flood-of-light,018d937e-ea82-70c3-bc05-32328b5f3208,3.99
"[8, 32, 33]",2018-10-19,Damsel,damsel,018d937f-27ba-7361-806f-74916602325d,19.99
"[5, 32, 33]",2018-02-15,Aqua Kitty UDX,aqua-kitty-udx,018d937f-6ce1-713b-95e8-a09e9b5f1e96,6.99
"[9, 12, 13, 15, 24, 31, 32]",2017-08-22,The Escapists 2,the-escapists-2,018d937f-1c89-7159-8d87-bfd52f64a0e4,19.99
"[2, 9, 13, 31, 32]",2019-11-20,Still There,still-there,018d937f-2bc6-7172-a516-d9be0ceceaa8,14.99
"[8, 9, 31, 32]",2018-05-29,Shift Quantum,shift-quantum,018d937e-e9ec-7103-97a0-732d4301eb72,19.99
"[13, 14, 31]",2016-12-01,Steep,steep,018d937f-1018-7053-bd38-d5cfb751b486,59.99
"[9, 15, 32]",2014-01-29,The Castle Doctrine,the-castle-doctrine,018d937e-f8bb-73e0-8fba-b4c47fe55b73,15.99
"[13, 14]",2007-09-05,Pool Party,pool-party,018d937f-6ff3-71c9-bd0e-218c4c2006a2,19.99
"[9, 32]",2018-05-28,Hexologic,hexologic,018d937f-155f-7382-a1c1-393634586f4e,2.99
"[13, 15, 32]",2018-04-06,Farm Manager 2018,farm-manager-2018,018d937f-1735-71dc-aa95-459cf5167770,19.99
"[8, 12, 31, 32, 33]",2020-08-26,Sheepo,sheepo,018d937f-4051-7072-89b2-bc7dece9381c,8.99
"[5, 10, 33]",2012-12-06,Into the Dead,into-the-dead,018d937e-f4bd-724e-b9d6-0e8917509c93,9.99
